genus	family	notes
Carpentaria	Arecaceae	
x Chionoscilla	Asparagaceae	
Dolichousnea	Parmeliaceae	
Layia	Compositae	
Vegetable	Vegetables	
XXXXX	XXXXXXXXXX	
Abelia	Caprifoliaceae	See also <g>Vesalea</g>
Abeliophyllum	Oleaceae	
Abelmoschus	Malvaceae	
Abies	Pinaceae	
Abromeitiella	Bromeliaceae	
Abronia	Nyctaginaceae	
Abrotanella	Asteraceae	
Abrus	Papilionaceae	
Abutilon	Malvaceae	
Acacia	Mimosaceae	
Acaena	Rosaceae	
Acalypha	Euphorbiaceae	
Acanthocalyx	Morinaceae	
Acantholimon	Plumbaginaceae	
Acanthopanax	Araliaceae	
Acanthostachys	Bromeliaceae	
Acanthus	Acanthaceae	
Acca	Myrtaceae	
Acer	Sapindaceae	
Aceriphyllum	Saxifragaceae	
Achicodonia	Gesneriaceae	
Achillea	Asteraceae	
Achimenantha	Gesneriaceae	
Achimenes	Gesneriaceae	
Achlys	Berberidaceae	
Achnatherum	Poaceae	
Achyranthes	Amaranthaceae	
Acidanthera	Iridaceae	
Acinos	Lamiaceae	
Aciphylla	Apiaceae	
Acis	Amaryllidaceae	
Acmella	Asteraceae	
Acmena	Myrtaceae	
Acnistus	Solanaceae	
Acoelorraphe	Arecaceae	
Acoelorrhaphe	Arecaceae	
Acokanthera	Apocynaceae	
Aconitum	Ranunculaceae	
Aconogonon	Polygonaceae	
Acorus	Acoraceae	
Acourtia	Asteraceae	
Acradenia	Rutaceae	
Acridocarpus	Malpighiaceae	
Acrocladium	Sphagnaceae	
Actaea	Ranunculaceae	
Actinella	Asteraceae	
Actinidia	Actinidiaceae	
Actinotus	Apiaceae	
Acystopteris	Woodsiaceae	
Adansonia	Malvaceae	
Adelocaryum	Boraginaceae	
Adenanthos	Proteaceae	
Adenia	Passifloraceae	
Adenium	Apocynaceae	
Adenocalymma	Bignoniaceae	
Adenocarpus	Papilionaceae	
Adenophora	Campanulaceae	
Adenostyles	Asteraceae	
Adesmia	Papilionaceae	
Adiantum	Pteridaceae	
Adina	Rubiaceae	
Adlumia	Papaveraceae	
Adonidia	Arecaceae	
Adonis	Ranunculaceae	
Adoxa	Adoxaceae	
Adromischus	Crassulaceae	
Aechmea	Bromeliaceae	
Aegle	Rutaceae	
Aegopodium	Apiaceae	
Aeollanthus	Lamiaceae	
Aeonium	Crassulaceae	
Aeschynanthus	Gesneriaceae	
Aesculus	Sapindaceae	
Aethionema	Brassicaceae	
Aethusa	Apiaceae	
Aextoxicon	Aextoxicaceae	
Afgekia	Papilionaceae	
Afrocarpus	Podocarpaceae	
Afrocrocus	Iridaceae	
Agalinis	Scrophulariaceae	
Agapanthus	Agapanthaceae	
Agapetes	Ericaceae	
Agarista	Ericaceae	
Agastache	Lamiaceae	
Agathaea	Asteraceae	
Agathis	Araucariaceae	
Agathosma	Rutaceae	
Agave	Asparagaceae	
Ageratina	Asteraceae	
Ageratum	Asteraceae	
Aglaomorpha	Polypodiaceae	
Aglaonema	Araceae	
Agonis	Myrtaceae	
Agoseris	Asteraceae	
Agrimonia	Rosaceae	
Agropyron	Poaceae	
Agrostemma	Caryophyllaceae	
Agrostis	Poaceae	See also <g>Panicum</g>
Agrostocrinum	Phormiaceae	
Aichryson	Crassulaceae	
Ailanthus	Simaroubaceae	
Ainsliaea	Asteraceae	
Aiphanes	Arecaceae	
Ajania	Asteraceae	
Ajuga	Lamiaceae	
Akebia	Lardizabalaceae	
Alangium	Cornaceae	
Albizia	Mimosaceae	
Albuca	Asparagaceae	
Alcalthaea	Malvaceae	
Alcantarea	Bromeliaceae	
Alcea	Malvaceae	
Alchemilla	Rosaceae	
Aldrovanda	Droseraceae	
Alectorurus	Liliaceae	
Alectryon	Sapindaceae	
Aletris	Melanthiaceae	
Aliciella	Polemoniaceae	
Alisma	Alismataceae	
Alkanna	Boraginaceae	
Allagoptera	Arecaceae	
Allamanda	Apocynaceae	
Allardia	Asteraceae	
Alliaria	Brassicaceae	
Allium	Alliaceae	For A.siculum & A.nectaracsardium, see <g>Nectaroscordum</g>
Allocasuarina	Casuarinaceae	
Allophylus	Sapindaceae	
Allowissadula	Malvaceae	
Alniphyllum	Styracaceae	
Alnus	Betulaceae	
Alocasia	Araceae	
Aloe	Asphodelaceae	
Aloinopsis	Aizoaceae	
Alonsoa	Scrophulariaceae	
Alopecurus	Poaceae	
Alophia	Iridaceae	
Aloysia	Verbenaceae	
Alpinia	Zingiberaceae	
Alsobia	Gesneriaceae	
Alstroemeria	Alstroemeriaceae	
Alternanthera	Amaranthaceae	
Althaea	Malvaceae	
Altingia	Hamamelidaceae	
Alworthia	Asphodelaceae	
Alyogyne	Malvaceae	
Alyssoides	Brassicaceae	
Alyssum	Brassicaceae	
Amana	Liliaceae	
Amaranthus	Amaranthaceae	
Amarcrinum	Amaryllidaceae	
Amarine	Amaryllidaceae	
Amarygia	Amaryllidaceae	
Amaryllis	Amaryllidaceae	
Amberboa	Asteraceae	
Ambrosia	Asteraceae	
Ambrosina	Araceae	
Ambrosinia	Araceae	
Amelanchier	Rosaceae	
Amelasorbus	Rosaceae	
Amellus	Asteraceae	
Amianthium	Melanthiaceae	
Amianthum	Melanthiaceae	
Amicia	Papilionaceae	
Amitostigma	Orchidaceae	
Ammi	Apiaceae	See also <g>Visnaga</g>
Ammobium	Asteraceae	
Ammocharis	Amaryllidaceae	
Ammophila	Poaceae	
Amomum	Zingiberaceae	
Amomyrtus	Myrtaceae	
Amorpha	Papilionaceae	
Amorphophallus	Araceae	
Ampelaster	Asteraceae	
Ampelocalamus	Poaceae	
Ampelocissus	Vitaceae	
Ampelodesmos	Poaceae	
Ampelopsis	Vitaceae	
Amphicome	Bignoniaceae	
Amsonia	Apocynaceae	
Amygdalus	Rosaceae	
Amyris	Rutaceae	
Anacampseros	Portulacaceae	
Anacamptis	Orchidaceae	
Anacardium	Anacardiaceae	
Anacyclus	Asteraceae	
Anadenanthera	Mimosaceae	
Anagallis	Primulaceae	
Anagyris	Papilionaceae	
Ananas	Bromeliaceae	
Anaphalioides	Asteraceae	
Anaphalis	Asteraceae	
Anarrhinum	Plantaginaceae	
Anchusa	Boraginaceae	
Ancylostemon	Gesneriaceae	
Andrachne	Phyllanthaceae	Andrachne colchica is now renamed under <g>Leptopus</g>
Androcymbium	Colchicaceae	
Andrographis	Acanthaceae	
Andromeda	Ericaceae	
Andropogon	Poaceae	
Androsace	Primulaceae	
Androstoma	Ericaceae	
Andryala	Asteraceae	
Anemanthele	Poaceae	
Anemarrhena	Asparagaceae	
Anemia	Schizaeaceae	
Anemone	Ranunculaceae	
Anemonella	Ranunculaceae	
Anemonopsis	Ranunculaceae	
Anemopaegma	Bignoniaceae	
Anemopsis	Saururaceae	
Anethum	Apiaceae	
Angelica	Apiaceae	
Angelonia	Plantaginaceae	
Anigozanthos	Haemodoraceae	
Anigozanthus	Haemodoraceae	
Anisacanthus	Acanthaceae	
Anisodontea	Malvaceae	
Anisodus	Solanaceae	
Anisotome	Apiaceae	
Annona	Annonaceae	
Anoda	Malvaceae	
Anoiganthus	Amaryllidaceae	
Anomalesia	Iridaceae	
Anomatheca	Iridaceae	
Anopterus	Escalloniaceae	
Anredera	Basellaceae	
Antennaria	Asteraceae	
Antenoron	Polygonaceae	
Anthemis	Asteraceae	
Anthericum	Asparagaceae	
Anthocercis	Solanaceae	
Antholyza	Iridaceae	
Anthoxanthum	Poaceae	
Anthriscus	Apiaceae	
Anthurium	Araceae	
Anthyllis	Papilionaceae	
Antigonon	Polygonaceae	
Antirrhinum	Plantaginaceae	
Aphanes	Rosaceae	
Aphelandra	Acanthaceae	
Aphyllanthes	Asparagaceae	
Apios	Papilionaceae	
Apium	Apiaceae	
Apocynum	Apocynaceae	
Apodolirion	Amaryllidaceae	
Aponogeton	Aponogetonaceae	
Aptenia	Aizoaceae	
Aquilegia	Ranunculaceae	
Arabis	Brassicaceae	
Arachniodes	Dryopteridaceae	
Araiostegia	Davalliaceae	
Aralia	Araliaceae	
Araucaria	Araucariaceae	
Araujia	Apocynaceae	
Arbutus	Ericaceae	
Archidendron	Mimosaceae	
Archontophoenix	Arecaceae	
Arctanthemum	Asteraceae	
Arcterica	Ericaceae	
Arctium	Asteraceae	
Arctomecon	Papaveraceae	
Arctostaphylos	Ericaceae	
Arctotheca	Asteraceae	
Arctotis	Asteraceae	
Ardisia	Primulaceae	
Areca	Arecaceae	
Arecastrum	Arecaceae	
Arenaria	Caryophyllaceae	
Arenga	Arecaceae	
Argania	Sapotaceae	
Argemone	Papaveraceae	
Argylia	Bignoniaceae	
Argyranthemum	Asteraceae	
Argyreia	Convolvulaceae	
Argyrocytisus	Papilionaceae	
Argyroderma	Aizoaceae	
Ariopsis	Araceae	
Arisaema	Araceae	
Arisarum	Araceae	
Aristea	Iridaceae	
Aristida	Poaceae	
Aristolochia	Aristolochiaceae	
Aristotelia	Elaeocarpaceae	
Armeria	Plumbaginaceae	
Armoracia	Brassicaceae	
Arnebia	Boraginaceae	
Arnica	Asteraceae	
Arnoglossum	Asteraceae	
Aronia	Rosaceae	
Arracacia	Apiaceae	
Arrhenatherum	Poaceae	
Artedia	Apiaceae	
Artemisia	Asteraceae	
Arthrocnemum	Amaranthaceae	
Arthropodium	Asparagaceae	
Arthrostylidium	Poaceae	
Artocarpus	Moraceae	
Arum	Araceae	
Aruncus	Rosaceae	
Arundina	Orchidaceae	
Arundinaria	Poaceae	
Arundo	Poaceae	
Asarina	Plantaginaceae	
Asarum	Aristolochiaceae	
Asclepias	Apocynaceae	
Asimina	Annonaceae	
Askidiosperma	Restionaceae	
Asparagus	Asparagaceae	
Asperula	Rubiaceae	
Asphodeline	Asphodelaceae	
Asphodelus	Asphodelaceae	
Aspidistra	Asparagaceae	
Asplenium	Aspleniaceae	
Astartea	Myrtaceae	
Astelia	Asteliaceae	
Aster	Asteraceae	Many plants formerly in genus Aster have been reassigned. The majority have moved into <g>Symphyotrichum</g>. Others can be found under <g>Doellingeria</g>, <g>Eurybia</g>, <g>Galatella</g> or <g>Solidago</g>
Asteranthera	Gesneriaceae	
Asteriscus	Asteraceae	
Asteromoea	Asteraceae	
Asteropyrum	Ranunculaceae	
Asterotrichion	Malvaceae	
Astilbe	Saxifragaceae	
Astilboides	Saxifragaceae	
Astragalus	Papilionaceae	
Astranthium	Asteraceae	
Astrantia	Apiaceae	
Astrodaucus	Apiaceae	
Astrolepis	Pteridaceae	
Astrophytum	Cactaceae	
Astydamia	Apiaceae	
Asyneuma	Campanulaceae	
Asystasia	Acanthaceae	
Athamanta	Apiaceae	
Athanasia	Asteraceae	
Atherosperma	Atherospermataceae	
Athrotaxis	Cupressaceae	
Athyrium	Woodsiaceae	
Atractylodes	Asteraceae	
Atragene	Ranunculaceae	
Atraphaxis	Polygonaceae	
Atriplex	Amaranthaceae	
Atropa	Solanaceae	
Atropanthe	Solanaceae	
Aubretia	Brassicaceae	
Aubrieta	Brassicaceae	
Aucuba	Garryaceae	
Aulax	Proteaceae	
Aurinia	Brassicaceae	
Austrocedrus	Cupressaceae	
Austrocylindropuntia	Cactaceae	
Austromyrtus	Myrtaceae	
Avena	Poaceae	
Avenula	Poaceae	
Averrhoa	Oxalidaceae	
Ayapana	Asteraceae	
Azadirachta	Meliaceae	
Azalea	Ericaceae	
Azaleodendron	Ericaceae	
Azara	Salicaceae	
Azolla	Salviniaceae	
Azorella	Apiaceae	
Azorina	Campanulaceae	
Babiana	Iridaceae	
Baccharis	Asteraceae	
Backhousia	Myrtaceae	
Bacopa	Plantaginaceae	
Baeckea	Myrtaceae	
Baeometra	Colchicaceae	
Bahia	Asteraceae	
Baillonia	Verbenaceae	
Baimashania	Brassicaceae	
Balbisia	Ledocarpaceae	
Baldellia	Alismataceae	
Ballota	Lamiaceae	
Baloskion	Restionaceae	
Balsamita	Asteraceae	
Balsamorhiza	Asteraceae	
Bambusa	Poaceae	
Banisteriopsis	Malpighiaceae	
Banksia	Proteaceae	
Baptisia	Papilionaceae	
Barbarea	Brassicaceae	
Barleria	Acanthaceae	
Barnadesia	Asteraceae	
Barnardia	Asparagaceae	
Barosma	Rutaceae	
Bartlettina	Asteraceae	
Bartsia	Orobanchaceae	
Basella	Basellaceae	
Bashania	Poaceae	
Bassia	Amaranthaceae	
Basutica	Thymelaeaceae	
Bauera	Cunoniaceae	
Bauhinia	Caesalpiniaceae	
Baumea	Cyperaceae	
Beaucarnea	Asparagaceae	
Beaufortia	Myrtaceae	
Beaumontia	Apocynaceae	
Beauverdia	Alliaceae	
Beccariophoenix	Arecaceae	
Beckmannia	Poaceae	
Bedfordia	Asteraceae	
Beesia	Ranunculaceae	
Begonia	Begoniaceae	
Beilschmiedia	Lauraceae	
Belamcanda	Iridaceae	See Iris domestica <g>Iris</g>
Bellendena	Proteaceae	
Bellevalia	Asparagaceae	
Bellidiastrum	Asteraceae	
Bellis	Asteraceae	
Bellium	Asteraceae	
Belloa	Asteraceae	
Beloperone	Acanthaceae	
Bensoniella	Saxifragaceae	
Benthamiella	Solanaceae	
Berberidopsis	Berberidopsidaceae	
Berberis	Berberidaceae	
Berchemia	Rhamnaceae	
Bergbambos	Poaceae	
Bergenia	Saxifragaceae	
Bergera	Rutaceae	
Bergeranthus	Aizoaceae	
Berkheya	Asteraceae	
Berlandiera	Asteraceae	
Berneuxia	Diapensiaceae	
Berula	Apiaceae	
Berzelia	Bruniaceae	
Beschorneria	Asparagaceae	
Bessera	Asparagaceae	
Besseya	Plantaginaceae	
Beta	Amaranthaceae	
Betonica	Lamiaceae	
Betula	Betulaceae	
Beyeria	Euphorbiaceae	
Biarum	Araceae	
Bidens	Asteraceae	
Biebersteinia	Biebersteiniaceae	
Bignonia	Bignoniaceae	
Bilderdykia	Polygonaceae	
Billardiera	Pittosporaceae	
Billbergia	Bromeliaceae	
Biscutella	Brassicaceae	
Biserrula	Papilionaceae	
Bismarckia	Arecaceae	
Bistorta	Polygonaceae	
Bituminaria	Papilionaceae	
Bixa	Bixaceae	
Blachia	Euphorbiaceae	
Blackstonia	Gentianaceae	
Blandfordia	Blandfordiaceae	
Blastus	Melastomataceae	
Blechnum	Blechnaceae	
Blepharocalyx	Myrtaceae	
Blephilia	Lamiaceae	
Bletilla	Orchidaceae	
Blighia	Sapindaceae	
Bloomeria	Asparagaceae	
Blumea	Asteraceae	
Blumenbachia	Loasaceae	
Bocconia	Papaveraceae	
Boehmeria	Urticaceae	
Boenninghausenia	Rutaceae	
Boesenbergia	Zingiberaceae	
Boisduvalia	Onagraceae	
Bolandra	Saxifragaceae	
Bolax	Apiaceae	
Bolboschoenus	Cyperaceae	
Boltonia	Asteraceae	
Bolusanthus	Papilionaceae	
Bomarea	Alstroemeriaceae	
Bombax	Malvaceae	
Bonatea	Orchidaceae	
Bongardia	Berberidaceae	
Bonia	Poaceae	
Boophone	Amaryllidaceae	
Boquila	Lardizabalaceae	
Borago	Boraginaceae	
Borinda	Poaceae	
Bornmuellera	Brassicaceae	
Boronia	Rutaceae	
Boschniakia	Scrophulariaceae	
Boscia	Capparaceae	
Bossiaea	Papilionaceae	
Bothriochloa	Poaceae	
Botryostege	Ericaceae	
Bougainvillea	Nyctaginaceae	
Boussingaultia	Basellaceae	
Bouteloua	Poaceae	
Bouvardia	Rubiaceae	
Bowenia	Zamiaceae	
Bowiea	Asparagaceae	
Bowkeria	Stilbaceae	
Boykinia	Saxifragaceae	
Brachychilum	Zingiberaceae	
Brachychiton	Malvaceae	
Brachyelytrum	Poaceae	
Brachyglottis	Asteraceae	
Brachylaena	Asteraceae	
Brachyotum	Melastomataceae	
Brachypodium	Poaceae	
Brachyscome	Asteraceae	
Brachysema	Papilionaceae	
Brachystachyum	Poaceae	
Brachystelma	Apocynaceae	
Bracteantha	Asteraceae	
Brahea	Arecaceae	
Brainea	Blechnaceae	
Brasiliopuntia	Cactaceae	
Brassaia	Araliaceae	
Brassia	Orchidaceae	
Brassica	Brassicaceae	
Brassiophoenix	Arecaceae	
Bravoa	Asparagaceae	
Braya	Brassicaceae	
Bretschneidera	Akaniaceae	
Breynia	Phyllanthaceae	
Brickellia	Asteraceae	
Brigandra	Gesneriaceae	
Briggsia	Gesneriaceae	
Brighamia	Campanulaceae	
Brillantaisia	Acanthaceae	
Brimeura	Asparagaceae	
Briza	Poaceae	
Brocchinia	Bromeliaceae	
Brodiaea	Asparagaceae	
Bromus	Poaceae	
Broussonetia	Moraceae	
Browallia	Solanaceae	
Bruckenthalia	Ericaceae	
Brugmansia	Solanaceae	
Brunfelsia	Solanaceae	
Brunia	Bruniaceae	
Brunnera	Boraginaceae	
Brunonia	Goodeniaceae	
Brunscrinum	Amaryllidaceae	
Brunsvigia	Amaryllidaceae	
Bryanthus	Ericaceae	
Bryonia	Cucurbitaceae	
Bryophyllum	Crassulaceae	
Bryum	Sphagnaceae	
Buchloe	Poaceae	
Buddleja	Scrophulariaceae	
Buglossoides	Boraginaceae	
Bukiniczia	Plumbaginaceae	
Bulbine	Asphodelaceae	
Bulbinella	Asphodelaceae	
Bulbinopsis	Asphodelaceae	
Bulbocodium	Colchicaceae	
Bunias	Brassicaceae	
Bunium	Apiaceae	
Buphthalmum	Asteraceae	
Bupleurum	Apiaceae	
Burchardia	Colchicaceae	
Burchellia	Rubiaceae	
Bursaria	Pittosporaceae	
Butia	Arecaceae	
Butomus	Butomaceae	
Butyagrus	Arecaceae	
Buxus	Buxaceae	
Cacalia	Asteraceae	
Caccinia	Boraginaceae	
Cachrys	Apiaceae	
Caesalpinia	Caesalpiniaceae	
Caiophora	Loasaceae	
Cakile	Brassicaceae	
Caladenia	Orchidaceae	
Caladium	Araceae	
Calamagrostis	Poaceae	
Calamintha	Lamiaceae	
Calamovilfa	Poaceae	
Calamus	Arecaceae	
Calandrinia	Portulacaceae	
Calanthe	Orchidaceae	
Calathea	Marantaceae	
Calceolaria	Calceolariaceae	
Caldcluvia	Cunoniaceae	
Calea	Asteraceae	
Calendula	Asteraceae	
Calibanus	Asparagaceae	
Calibrachoa	Solanaceae	
Calicotome	Papilionaceae	
Calla	Araceae	
Calliandra	Mimosaceae	
Callianthemum	Ranunculaceae	
Callicarpa	Lamiaceae	
Callicoma	Cunoniaceae	
Calliergon	Sphagnaceae	
Callirhoe	Malvaceae	
Callisia	Commelinaceae	
Callistachys	Papilionaceae	
Callistemon	Myrtaceae	
Callistephus	Asteraceae	
Callitriche	Plantaginaceae	
Callitris	Cupressaceae	
Callitropsis	Cupressaceae	
Calluna	Ericaceae	
Calocedrus	Cupressaceae	
Calocephalus	Asteraceae	
Calochortus	Liliaceae	
Calomeria	Asteraceae	
Calonyction	Convolvulaceae	
Calophaca	Papilionaceae	
Calopogon	Orchidaceae	
Calopsis	Restionaceae	
Caloscordum	Alliaceae	
Calostemma	Amaryllidaceae	
Calothamnus	Myrtaceae	
Calotropis	Apocynaceae	
Calpurnia	Papilionaceae	
Caltha	Ranunculaceae	
Calycanthus	Calycanthaceae	
Calydorea	Iridaceae	
Calylophus	Onagraceae	
Calypso	Orchidaceae	
Calyptridium	Portulacaceae	
Calystegia	Convolvulaceae	
Calytrix	Myrtaceae	
Camassia	Asparagaceae	
Camellia	Theaceae	
Camissonia	Onagraceae	
Campanula	Campanulaceae	
Campanumoea	Campanulaceae	
Camphorosma	Amaranthaceae	
Campsis	Bignoniaceae	
Camptosema	Papilionaceae	
Camptosorus	Aspleniaceae	
Camptotheca	Nyssaceae	
Campylandra	Convallariaceae	
Campylotropis	Papilionaceae	
Cananga	Annonaceae	
Canarina	Campanulaceae	
Canavalia	Papilionaceae	
Candollea	Dilleniaceae	
Canistropsis	Bromeliaceae	
Canna	Cannaceae	
Cannomois	Restionaceae	
Cantleya	Icacinaceae	
Cantua	Polemoniaceae	
Capeochloa	Poaceae	
Capnoides	Papaveraceae	
Capparis	Capparaceae	
Capsella	Brassicaceae	
Capsicum	Solanaceae	
Caputia	Asteraceae	
Caragana	Papilionaceae	
Caralluma	Apocynaceae	
Cardamine	Brassicaceae	
Cardiandra	Hydrangeaceae	
Cardiocrinum	Liliaceae	
Cardiospermum	Sapindaceae	
Carduncellus	Asteraceae	
Carduus	Asteraceae	
Carex	Cyperaceae	
Carica	Caricaceae	
Carissa	Apocynaceae	
Carlina	Asteraceae	
Carmichaelia	Papilionaceae	
Carmispartium	Papilionaceae	
Carpenteria	Hydrangeaceae	
Carpesium	Asteraceae	
Carpinus	Betulaceae	
Carpobrotus	Aizoaceae	
Carpodetus	Rousseaceae	
Carrierea	Salicaceae	
Carthamus	Asteraceae	
Carum	Apiaceae	
Carya	Juglandaceae	
Caryophyllus	Myrtaceae	
Caryopteris	Lamiaceae	
Caryota	Arecaceae	
Cassandra	Ericaceae	
Cassia	Caesalpiniaceae	
Cassinia	Asteraceae	
Cassiope	Ericaceae	
Castanea	Fagaceae	
Castanopsis	Fagaceae	
Castanospermum	Papilionaceae	
Castilleja	Orobanchaceae	
Casuarina	Casuarinaceae	
Catalpa	Bignoniaceae	
Catananche	Asteraceae	
Catapodium	Poaceae	
Catha	Celastraceae	
Catharanthus	Apocynaceae	
Cathaya	Pinaceae	
Cathcartia	Papaveraceae	
Catopsis	Bromeliaceae	
Cattleya	Orchidaceae	
Caulokaempferia	Zingiberaceae	
Caulophyllum	Berberidaceae	
Cautleya	Zingiberaceae	
Cavendishia	Ericaceae	
Cayratia	Vitaceae	
Ceanothus	Rhamnaceae	
Cedrela	Meliaceae	
Cedronella	Lamiaceae	
Cedrus	Pinaceae	
Ceiba	Malvaceae	
Celastrus	Celastraceae	
Celmisia	Asteraceae	
Celosia	Amaranthaceae	
Celsia	Scrophulariaceae	
Celsioverbascum	Scrophulariaceae	
Celtica	Poaceae	
Celtis	Cannabaceae	
Cenolophium	Apiaceae	
Centaurea	Asteraceae	
Centaurium	Gentianaceae	
Centella	Apiaceae	
Centradenia	Melastomataceae	
Centranthus	Caprifoliaceae	
Centratherum	Asteraceae	
Centropogon	Campanulaceae	
Cephalanthera	Orchidaceae	
Cephalanthus	Rubiaceae	
Cephalaria	Caprifoliaceae	
Cephalipterum	Asteraceae	
Cephalophyllum	Aizoaceae	
Cephalotaxus	Taxaceae	
Cephalotus	Cephalotaceae	
Cerastium	Caryophyllaceae	
Ceratocapnos	Papaveraceae	
Ceratoides	Chenopodiaceae	
Ceratonia	Caesalpiniaceae	
Ceratophyllum	Ceratophyllaceae	
Ceratostigma	Plumbaginaceae	
Ceratotheca	Pedaliaceae	
Cercestis	Araceae	
Cercidiphyllum	Cercidiphyllaceae	
Cercis	Caesalpiniaceae	
Cercocarpus	Rosaceae	
Cereus	Cactaceae	
Cerinthe	Boraginaceae	
Ceropegia	Apocynaceae	
Ceroxylon	Arecaceae	
Cestrum	Solanaceae	
Ceterach	Aspleniaceae	
Chaenactis	Asteraceae	
Chaenomeles	Rosaceae	
Chaenorhinum	Plantaginaceae	
Chaenostoma	Scrophulariaceae	
Chaerophyllum	Apiaceae	
Chaetacanthus	Acanthaceae	
Chamaebatiaria	Rosaceae	
Chamaecrista	Caesalpiniaceae	
Chamaecyparis	Cupressaceae	
Chamaecytisus	Papilionaceae	
Chamaedaphne	Ericaceae	
Chamaedorea	Arecaceae	
Chamaelirium	Melanthiaceae	
Chamaemelum	Asteraceae	
